CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-1-1,33,30,28,34,29,27,100,95,86,30.30,30.22,30.06,10,9,4,21,12,25,0.00,8,,333
2013-1-2,42,35,28,30,28,27,100,84,57,30.33,30.27,30.20,10,10,7,12,6,16,0.00,3,,283
2013-1-3,42,33,24,30,27,23,100,83,53,30.47,30.42,30.32,10,10,10,13,6,17,0.00,0,,310
2013-1-4,44,32,21,32,28,21,100,75,53,30.48,30.40,30.30,10,10,10,16,5,,0.00,5,,194
2013-1-5,48,40,32,36,33,27,100,80,57,30.32,30.25,30.16,10,10,10,16,9,23,0.00,4,,213
2013-1-6,50,37,24,30,27,23,100,71,40,30.44,30.36,30.32,10,10,10,12,5,,0.00,0,,325
2013-1-7,50,36,23,32,27,21,93,70,43,30.34,30.21,30.10,10,10,10,15,6,18,0.00,0,,165
2013-1-8,53,42,32,45,38,32,100,84,62,30.17,30.08,30.03,10,9,3,17,8,17,0.00,5,,151
2013-1-9,46,45,44,46,46,45,100,100,100,30.31,30.20,30.10,7,4,0,20,10,26,0.29,8,Fog-Rain,34
2013-1-10,57,50,44,55,50,45,100,99,94,30.10,29.90,29.82,10,7,1,18,9,25,0.33,7,Rain,148
2013-1-11,69,56,44,54,48,45,100,79,46,29.86,29.77,29.69,10,10,10,26,14,34,0.00,0,,183
2013-1-12,55,40,26,41,28,19,87,73,41,30.05,29.93,29.84,10,10,10,25,15,32,0.00,5,Rain-Thunderstorm,356
2013-1-13,32,26,19,19,15,14,80,68,48,30.37,30.23,30.04,10,10,10,21,15,26,0.00,0,,357
2013-1-14,35,26,17,19,15,12,86,62,41,30.43,30.34,30.28,10,10,10,15,9,18,0.00,2,,34
2013-1-15,33,26,19,21,19,16,100,76,52,30.30,30.25,30.20,10,10,10,14,7,16,0.00,4,,4
2013-1-16,46,32,19,28,21,14,93,67,37,30.23,30.19,30.12,10,10,10,12,1,,0.00,1,,261
2013-1-17,53,42,30,34,31,28,93,73,44,30.51,30.42,30.23,10,10,10,15,7,20,0.00,0,,343
2013-1-18,59,44,30,36,32,28,93,68,39,30.49,30.35,30.19,10,10,10,21,8,25,0.00,0,,176
2013-1-19,64,50,35,39,36,34,93,65,39,30.22,30.16,30.11,10,10,10,14,9,,0.00,0,,206
2013-1-20,62,47,32,41,34,27,100,68,42,30.26,30.18,30.09,10,10,10,16,5,21,0.00,0,,32
2013-1-21,42,32,23,27,19,14,74,59,42,30.42,30.32,30.26,10,10,10,16,11,25,0.00,0,,29
2013-1-22,59,41,23,36,27,19,93,64,38,30.29,30.23,30.15,10,10,10,14,5,20,0.00,0,,156
2013-1-23,69,50,30,52,42,30,100,83,49,30.25,30.17,30.10,10,10,4,10,3,,0.00,0,,153
2013-1-24,44,37,30,45,33,28,100,83,66,30.24,30.17,30.12,10,10,7,15,9,18,0.00,3,,18
2013-1-25,46,36,26,36,31,27,100,88,62,30.25,30.19,30.13,10,9,4,13,7,17,0.00,3,,23
2013-1-26,44,36,28,45,38,28,100,98,87,30.24,30.17,30.08,10,7,2,14,5,20,0.00,6,,131
2013-1-27,68,55,42,59,52,43,100,93,73,30.07,29.94,29.85,10,6,0,21,14,29,0.00,6,Rain,163
2013-1-28,71,65,59,63,62,57,100,86,73,29.95,29.85,29.75,10,10,10,26,16,36,0.00,5,,173
2013-1-29,66,52,39,63,54,36,100,94,82,29.76,29.61,29.47,10,10,2,23,14,30,0.25,6,Rain-Thunderstorm,248
2013-1-30,44,38,32,36,28,21,93,72,43,30.07,29.94,29.68,10,10,10,23,15,32,0.00,4,,298
2013-1-31,57,42,26,32,26,19,87,62,38,30.41,30.16,30.04,10,10,10,22,8,28,0.00,0,,267
2013-2-1,50,34,19,30,21,12,93,64,39,30.43,30.29,30.13,10,10,10,17,7,22,0.00,0,,116
2013-2-2,57,42,26,37,32,27,100,72,44,30.31,30.25,30.15,10,10,7,15,3,18,0.00,0,,306
2013-2-3,59,46,32,34,32,28,100,60,36,30.32,30.18,29.92,10,10,10,16,6,22,0.00,0,,161
2013-2-4,64,53,42,45,35,32,66,49,32,29.96,29.88,29.84,10,10,10,15,10,22,0.00,1,,356
2013-2-5,66,48,30,52,41,28,100,83,40,30.04,29.99,29.93,10,8,0,8,2,,0.00,2,Fog,359
2013-2-6,57,50,42,57,51,43,100,100,100,30.04,29.95,29.87,10,3,0,21,5,30,0.00,8,Fog-Rain,144
2013-2-7,64,53,41,59,49,36,100,91,73,30.19,29.95,29.81,10,6,1,31,14,37,0.05,6,Rain-Thunderstorm,24
2013-2-8,53,42,30,36,33,30,100,74,41,30.32,30.22,30.14,10,10,10,13,7,,0.00,0,,51
2013-2-9,46,42,37,46,39,34,100,91,70,30.13,29.94,29.70,10,7,1,21,11,29,0.00,5,,138
2013-2-10,60,48,37,52,36,28,100,62,36,30.06,29.81,29.67,10,9,2,18,12,24,0.08,1,Rain,260
2013-2-11,53,42,32,30,29,27,87,63,41,30.24,30.14,30.08,10,10,10,15,8,24,0.00,2,,38
2013-2-12,42,37,32,34,32,30,100,93,61,30.07,30.02,29.95,10,8,1,14,9,17,0.65,8,Rain-Snow,15
2013-2-13,53,42,32,37,32,28,100,78,41,30.09,30.04,29.99,10,8,1,10,6,,0.00,3,,259
2013-2-14,60,45,30,37,33,28,100,69,36,30.23,30.07,30.00,10,10,10,22,3,33,0.00,1,,356
2013-2-15,42,35,28,36,25,19,100,66,42,30.42,30.36,30.24,10,10,10,21,11,25,0.00,4,Rain-Snow,347
2013-2-16,51,38,26,32,30,21,100,73,40,30.40,30.25,30.08,10,10,7,16,7,21,0.00,1,Snow,219
2013-2-17,69,51,33,37,33,30,87,55,28,30.08,29.91,29.76,10,10,10,26,11,33,0.00,0,,175
2013-2-18,57,47,35,50,38,28,88,63,41,30.15,29.85,29.65,10,10,10,26,18,38,0.00,2,,265
2013-2-19,53,40,26,30,28,25,100,64,38,30.34,30.24,30.18,10,10,10,14,2,,0.00,1,,101
2013-2-20,42,37,32,36,33,28,100,94,57,30.20,30.08,29.87,10,8,1,20,12,25,0.70,8,Rain-Snow,109
2013-2-21,41,32,24,41,33,21,100,98,86,30.01,29.77,29.67,10,9,2,23,13,30,0.50,7,Snow-Thunderstorm,6
2013-2-22,37,29,21,25,21,18,93,77,56,30.16,30.09,30.00,10,10,10,14,9,20,0.00,0,,325
2013-2-23,46,34,21,32,26,19,100,77,53,30.12,30.01,29.89,10,10,10,8,1,,0.00,1,,71
2013-2-24,62,47,32,41,36,27,87,67,45,29.89,29.80,29.70,10,10,10,28,9,33,0.00,1,,131
2013-2-25,48,40,32,39,36,32,100,93,62,29.76,29.60,29.49,10,8,2,26,14,37,1.08,8,Rain-Snow-Thunderstorm,13
2013-2-26,46,38,30,34,32,30,100,84,57,29.94,29.79,29.62,10,9,2,24,17,34,0.00,3,Snow,320
2013-2-27,44,36,28,30,29,27,100,80,57,30.23,30.10,29.92,10,10,10,23,10,32,0.00,2,,318
2013-2-28,46,36,26,32,30,27,100,79,53,30.26,30.24,30.20,10,10,10,22,7,28,0.00,0,,317
2013-3-1,42,32,23,32,29,23,100,84,65,30.34,30.27,30.22,10,10,4,21,8,26,0.00,3,,346
2013-3-2,50,36,23,30,26,21,100,73,47,30.41,30.32,30.19,10,10,7,14,7,,0.00,0,,333
2013-3-3,69,51,33,37,33,28,81,57,31,30.17,29.92,29.62,10,10,10,24,12,30,0.00,0,,168
2013-3-4,68,55,42,45,38,34,81,55,39,30.01,29.67,29.53,10,10,10,32,17,43,0.00,1,,295
2013-3-5,48,40,32,36,26,21,93,62,40,30.40,30.31,30.08,10,10,10,34,19,47,0.00,1,Rain,334
2013-3-6,51,38,24,28,24,21,86,58,37,30.46,30.33,30.19,10,10,10,10,2,,0.00,0,,137
2013-3-7,69,53,37,34,29,23,60,42,26,30.19,30.12,30.04,10,10,10,23,13,32,0.00,0,,153
2013-3-8,59,55,51,54,46,32,100,75,44,30.13,30.05,29.94,10,10,3,23,14,34,0.00,4,,151
2013-3-9,60,55,50,61,55,41,100,96,58,29.94,29.77,29.65,10,8,0,24,14,45,0.38,7,Fog-Rain-Thunderstorm,159
2013-3-10,55,44,33,43,34,30,100,84,58,30.09,29.90,29.68,10,10,4,23,13,32,0.00,8,,306
2013-3-11,53,40,26,32,27,21,93,63,35,30.09,30.04,29.99,10,10,10,14,7,20,0.00,1,,302
2013-3-12,59,46,32,39,32,27,93,62,41,30.35,30.21,30.02,10,10,10,14,5,17,0.00,0,,10
2013-3-13,60,45,30,36,32,28,100,62,36,30.47,30.38,30.31,10,10,7,12,2,16,0.00,0,,152
2013-3-14,77,60,42,46,40,34,70,52,32,30.32,30.22,30.12,10,10,10,15,10,21,0.00,0,,186
2013-3-15,80,65,50,50,46,45,82,53,32,30.13,29.95,29.80,10,10,10,22,11,26,0.00,0,,187
2013-3-16,77,64,50,54,48,41,72,57,41,29.82,29.76,29.70,10,10,10,20,11,24,0.00,1,,155
2013-3-17,50,44,39,41,38,36,100,85,71,29.85,29.79,29.68,10,10,7,18,11,23,0.00,6,,2
2013-3-18,60,48,35,41,36,28,100,70,34,30.05,29.91,29.66,10,9,4,22,8,26,0.00,2,,8
2013-3-19,59,46,32,37,32,27,93,55,34,30.23,30.10,29.98,10,10,10,18,6,24,0.00,1,,85
2013-3-20,55,44,32,34,32,28,93,63,41,30.38,30.24,30.03,10,10,10,13,6,16,0.00,0,,47
2013-3-21,55,48,42,43,36,30,76,65,54,30.02,29.76,29.57,10,10,10,25,14,34,0.00,4,,123
2013-3-22,44,40,35,39,37,36,100,85,76,29.90,29.83,29.67,10,10,7,18,13,24,0.00,8,,34
2013-3-23,42,38,35,41,39,36,100,97,81,29.90,29.82,29.72,10,7,1,18,9,25,0.00,8,Rain-Thunderstorm,29
2013-3-24,42,36,30,36,26,21,100,73,45,30.22,30.08,29.88,10,10,10,25,18,36,0.00,4,,328
2013-3-25,42,35,28,23,20,18,80,57,39,30.41,30.32,30.22,10,10,10,25,11,37,0.00,0,,327
2013-3-26,53,36,19,28,23,18,93,57,35,30.47,30.37,30.24,10,10,10,17,5,21,0.00,0,,199
2013-3-27,68,52,35,41,34,27,70,51,35,30.24,30.14,30.05,10,10,10,29,16,37,0.00,0,,163
2013-3-28,71,58,46,55,49,41,87,69,53,30.17,30.11,30.04,10,10,10,22,13,28,0.00,3,,155
